title	author	arxiv	type
A Bilingual Generative Transformer for Semantic Sentence Embedding	John Wieting, Graham Neubig and Taylor Berg-Kirkpatrick	https://arxiv.org/abs/1911.03895	long
A Centering Approach for Discourse Structure-aware Coherence Modeling	Sungho Jeon and Michael Strube	N/A	long
A Computational Approach to Understanding Empathy Expressed in Text-Based Mental Health Support	Ashish Sharma, Adam Miner, David Atkins and Tim Althoff	N/A	long
A Dataset for Tracking Entities in Open Domain Procedural Text	Niket Tandon, Keisuke Sakaguchi, Bhavana Dalvi, Dheeraj Rajagopal, Peter Clark, Michal Guerquin, Kyle Richardson and Eduard Hovy	https://arxiv.org/abs/1805.06975	long
A Diagnostic Study of Explainability Techniques for Text Classification	Pepa Atanasova, Jakob Grue Simonsen, Christina Lioma and Isabelle Augenstein	https://arxiv.org/abs/2009.13295	long
A Joint Multiple Criteria Model in Transfer Learning for Cross-domain Chinese Word Segmentation	Kaiyu Huang, Degen Huang, Zhuang Liu and Fengran Mo	N/A	long
A Knowledge-Aware Sequence-to-Tree Network for Math Word Problem Solving	Qinzhuo Wu, Qi Zhang, Jinlan Fu and Xuanjing Huang	N/A	long
A Knowledge-driven Generative Model for Multi-implication Chinese Medical Procedure Entity Normalization	Jinghui Yan, Yining Wang, Lu Xiang, Yu Zhou and Chengqing Zong	N/A	long
A Massive Collection of Cross-Lingual Web-Document Pairs	Ahmed El-Kishky, Vishrav Chaudhary, Francisco Guzmán and Philipp Koehn	https://arxiv.org/abs/1911.06154	long
A Matter of Framing: The Impact of Linguistic Formalism on Probing Results	Ilia Kuznetsov and Iryna Gurevych	https://arxiv.org/abs/2004.14999	long
A Method for Building a Commonsense Inference Dataset based on Basic Events	Kazumasa Omura, Daisuke Kawahara and Sadao Kurohashi	N/A	long
A Multi-Task Incremental Learning Framework with Category Name Embedding for Aspect-Category Sentiment Analysis	Zehui Dai, Cheng Peng, Huajie Chen and Yadong Ding	https://arxiv.org/abs/2010.02784	long
A Predicate-Function-Argument Annotation of Natural Language for Open-Domain Information Expression	Mingming Sun, Wenyue Hua, Zoe Liu, Xin Wang, kangjie zheng and Ping Li	N/A	long
A Probabilistic End-To-End Task-Oriented Dialog Model with Latent Belief States towards Semi-Supervised Learning	Yichi Zhang, Zhijian Ou, Min Hu and Junlan Feng	https://arxiv.org/abs/2009.08115	long
A Rigorous Study on Named Entity Recognition: Can Fine-tuning Pretrained Model Lead to the Promised Land?	Hongyu Lin, Yaojie Lu, Jialong Tang, Xianpei Han, Le Sun, Zhicheng Wei and Nicholas Jing Yuan	https://arxiv.org/abs/2004.12126	long
A Spectral Method for Unsupervised Multi-Document Summarization	Kexiang Wang, Baobao Chang and Zhifang Sui	https://arxiv.org/abs/2007.08954	long
